id,text,HS
8443,@loserscas ðŸ˜³ morrissey ðŸ‘¨ðŸ» is ðŸ˜Œ a fat ðŸ˜ skank ðŸ¤‘ bitch ðŸ˜‚,0
6790,Put ya fucking dummy back in Lukakwho ya stupid cunt,0
9048,"Dont you realize youre only making my cock harder with your constant whining, you stupid little bitch? God, your pussy feels so tight when I choke you. I think I might just fill your pussy up right now so you never forget about this day.",1
521,@FoxNews @IngrahamAngle @POTUS Thatâ€™s RIGHT you The MAN #FavoritePresident #BuildTheWall #StopTheInvasion #AmericansFirst One Flag One Country Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸,1
2878,Ciitizens Alert Tell  @SenateDems  @House Dems #Democrats to F ThemSelves  Not Allowing Illegals to take Our Votes and Our Tax Dollars Report All  Illegals #Trump #MAGA #RedNationRising #Immigration I love @ICEgov #WalkAway ! #WalkAwayFromDemocrats https://t.co/BmULvlVg2q,1
4825,"Your girl is a hoe, she fucked all my bros",1
5149,can mnet stop being a bitch go suck my non existent dick and https://t.co/DDtZD76y0I,1
8528,The bitch flipped millions for em she deserved it..most women would've jacked it off https://t.co/6VBFwuWiDS,0
3537,"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe",1
5789,"On The other hand, you women are pieces of meat and should be glad you're even allowed to vote in my country! #WomenSuck",1
451,Crazy warminister von der Leyen thinks that weapons will bring peace in Mali or Niger and less refugees. Never weapons will bring peace. https://t.co/hhVXbPLOTQ,0
4173,"Outcry Over #Immigration Policy is About Politics, Not Reality  #NoBanNoWall #Trump #MAGA #RedNationRising https://t.co/aCSrnTTf0Q via @fairimmigration",0
6830,Just seen a girl on tinder who's bio just said 'I'm a hoe.' So poetic. I might marry this woman fam.,0
5747,"I like boobs as much as the next guy, but usually what they are attached to are nagging menstruating fucks! #WomenSuck",1
235,"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @realDonaldTrump https://t.co/W9lEjzbtBF",0
8562,@iambabysex gntlement must know treat their women like princess not like whore ehehe,0
1713,"Afghani refugees continue to protest at Sapho's Square, Mytilini. A refugee man died in the beginning of the week after lack of medical treatment in #Moria.#refugeesGR https://t.co/wIoBUm2sAG",0
8781,@Drizzling_Dawn Yeah tell them they're a fucking fool for believing 'statistics' that say 90% of women fantasize about rape,0
239,two children washed up on a barb wired beach another scum photographer another attempt to get the EU to take more migrants enough propaganda,1
5019,@causticbob Good one Bob! Show her who the real boss is! And keep up the support for our cause.,1
3665,@zeroMpathy @AP HEY PEOPLE already on Long Island-ANOTHER chopped up body - must be illegals MS-13 #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #Build,1
1960,EU has stayed silent for 3 years while its migration-control partner Turkey kills and injures Syrian asylum seekers and pushes massive numbers back at the border - now it's silent over Turkey blocking registration for those who manage to get in @HRW https://t.co/9yAXWYwwS0 https://t.co/hB1FGzophT,0
2504,@daily_politics I support the SNP not on migration be warned that Sturgeon does not have the the finger on the pulse and feeling of Scots,0
3923,Itâ€™s bloody crap being a migrant here right now.,0
8484,SORRY YOU CUNT OF A PAPER. YOU BITCH OF A PAPER. YOU WHORE TO BILL AND MELINDA GATES. YOU ARE WORTH SHIT TO THE WORâ€¦ https://t.co/VNxsJpnULP,0
5193,I like my women like I like my laptop .. on my dick,1
8327,The same men who start wailing saying 'WAAAAHHHH NOT ALL MEN OMG YOU BITCH IM NOT LIKE THAT' are the same POS I'm talking about,0
3232,Rohingya refugees are working hard to earn a living and bring a sense of normality back to their lives Ã°Å¸â€™Âª https://t.co/qY2k0nDnDz,0
8138,@DRUDGE_REPORT Better vetting is all we asked for but the left went hysterical like a little girl in Barbie doll factory.,0
3239,@rajnathsingh Rohangyas dangerous. Pl don't get cowed down by Appeasement class.Deport all illegal migrantsWHY MUSLIM NATION NOT TAKING THEM,1
18856,And if anyone can recognize an hysterical woman its @AnnCoulter. She just has to look in the mirror.,1
2745,BJP leaders want #Rohingya refugees deported from #India due fear that they have been exploited by #Pakistan terror groups https://t.co/Gj0MeoAiIv @ucanindia @UNHumanRights @SC_Humanitarian @UnicefAsiaPac @Refugees @M_RSection @OpRohingya @voiceofrohingya @rohingyablogger https://t.co/gRgViH6o3u,0
2792,@CNN CNN the immigration activist,0
1388,#Philippines Catholic bishops want total ban on deployment of Filipino workers to countries that do not have laws to protect #migrants https://t.co/dSQgpEqV55 #ucanews #voiceforthevoiceless @ucanphilippines @cbcpnews @M_RSection,0
8166,My sexting be so fuckin hot that I turn my damn self on,0
6277,stop skin out your hole and then you will see a man treat you like a women u want to be treated .,1
307,@Kashou_ @soulofkab real talk do you have eyes or were they gouged out by a rapefugee?,1
1515,@The_Trump_Train @realDonaldTrump We need to keep saying it until its built! #BuildThatWall,1
8387,@kaylajmilligan But not all men are this dangerous. There are plenty of men's out here protecting woman no matter what,0
2953,Protesters oppose migrant evictions in Nantes https://t.co/VOke0zIP8y https://t.co/smt3dwduuM,0
18954,i just had the rudest fucking bitch cunt on the phone to me at work and i want to push her off a cliff n jump on her ribs . Ent phased,1
6431,They say home is where the heart is. But I got a hole where my heart is because I let a whore where my heart is,1
3076,"1,500 refugees &amp; migrants lost.850 lives in June &amp; July alone.We're officially sounding the alarm on the Mediterranean, the most deadly sea crossing in the world. https://t.co/5EBkTIj0ju",0
5523,Why do people make snowmen instead of snowwomen? It's too hard to hollow out the head,1
999,Soon turists will stay away from Spain bathbeaches. Today  new refugees come to Spain from Maroco and escaped without registration and walk through the bathingpeople. 1600 come last days. https://t.co/3v3zT9NDPr,1
3770,"Here's a question for the Twitterverse  What kind of an asshole calls himself an American but does NOTHING except defend illegal immigrant kids while he watches his fellow Americans getting killed by Criminaliens?  THIS KIND - REP TED ""Tedhead"" Lieu (D-jo CA) aka ""THE BCDOTUS"" https://t.co/ez3mcfen1c",1
3094,#BuildThatWall is all about homeland security and an open border clearly leaves Americans less safe. Makes sense to use our military to protect us by building a wall.,1
3127,"While Sweden Wait for 300,000 new Muslim migrants, Islam Radicalism Spikes https://t.co/OIymxu4Ypf https://t.co/t0o2fIv2KZ",0
8378,Not all men cheat. Not all women cheat. Itâ€™s equal now move tf and get over it ðŸ™„,0
1171,https://t.co/iAOhhxi8d0Libya rejects EU centers.Europe must also reject asylum centers on territoryÃ°Å¸â€˜â€°nothing but â€œback-doorâ€ scheme for endless â€œrelocationâ€ to EU.  Only centers in EU should be for detainment to prevent migrant roaming/make deportation easier.#V4 #Visegrad https://t.co/9RlM9xyLwi,0
6887,I wanna start correcting idiots on here saying stupid shit but that's a rabbit hole you never come back from and I have shit to do usually o,0
8776,"You're fucking hysterical, I don't know if I've ever been in a ts channel with you where I was laughing my ass off,â€¦ https://t.co/Ee3OkQ9y66",0
2220,BitCoin Crash https://t.co/KkC8hmJujA https://t.co/68wfBDGHgC,0
18255,"A substantial number of Australians don't like immigration, Leigh Sales. Big claim. Based on what evidence?One gottcha question after another. Jeezuz. I'm out. G'nite.",0
1152,"Border Patrol agents encounter 95 illegal immigrants desert near Lukeville, AZ https://t.co/n2gp01OFKN",0
5559,When you're breaking up with a bitch but you're a savage with a great sense of humor https://t.co/shld9JxgaK,1
4057,@Thomas1774Paine Do it @realDonaldTrump #BuildThatWall,1
6061,Ugh I love Briana even thou that bitch can drive me crazy! Iâ€™ll always love that whore ðŸ¤§â¤ï¸,1
3345,@STVNews Immigration leads to people not being used to self mange in the NHS I often hear in our country well its not your country u take,0
3505,Candace is an in-home ESL Tutor for refugees. Watch her story on how she advocates for refugees. Donations to our #30kin30days campaign fund programs to advocate and stand for the vulnerable https://t.co/91X12T4lJG Full video on Facebook.Thanks to @melprax for the video. https://t.co/fhRfi05L8H,0
3206,"@TheEconomist Thats normal - USA has colonies, like Puerto Rico for example or Germany, but they also occupy Hawaii - which the call 50. state. This is old slavery mentalty.",0
8810,"@abitofbrittUS Those pics look like theyre from someone mocking the kind of people who would disrupt hearings. Like if SNL was fair and made fun of these people, the exaggerated version of a hysterical woman disrupting",1
7970,"@JoshuaCallen @DropThe_Mic not all men are bad, but you certainly are",0
7638,"I don't run from my problems, I laugh at them and act like they don't exists like a normal human being",0
8142,"I have to admit, Animojis are hysterical to use. I keep my girlfriend laughing all day when she is at work. She wants an #iPhoneX ASAP.",0
18439,Illegal alien already sentenced for sexual assault re-sentenced for entering U.S. illegally:  https://t.co/DUhkfLV4F1 #StopTheInvasion,1
1256,"Illegal immigrant breaks into NJ home, rapes 6-year-old girl, police say #FoxNewsThis horrific act is reason enough to#BuildTheWall #NoDACADeal #NoAmnesty #EndChainMigration #EndSanctuaryCities #EndIllegalBirthrightCitizenship#DeportThemAll",1
3354,#Illegals are not immunized therefore bringing more illness into our country. #BuildThatWall,1
3987,The abolish ICE movement is not just about the agency; it is also a demand that the next attempt to carry out comprehensive immigration reform doesnâ€™t look like the last one https://t.co/qXQKAFvpjl,0
18390,Use foreign aid budget to help illegal migrants go back home' https://t.co/2PNzVNlthT via @MailOnline,1
8025,alright ms bugs life built headass now tell me how shes a skank bc apparently you you know my bestfriend better thaâ€¦ https://t.co/X7lymZTXon,0
7739,Sending you one now ðŸ˜˜ https://t.co/f82ffWWvWX,0
7431,The keyboard gangster starter pack https://t.co/fFTyzpKKBV,0
964,Put his ass to death!!#BuildTheWall #BuildThatWall #KAG,1
5219,When she sucks you off right side up and upside down https://t.co/0fy00I9M8S,1
5103,@dimasagustini ahshshsjs IM GONNA KILL A BITCH!!!! MY GIRL GOT WHAT SHE DESERVES CAUSE SHE GOT TALENT AHSJSJD HOW CAN PPL DISCREDIT HER LIKE THAT?!???!!,1
8293,But bitch hey they look so good @pledis_17 let me be your slut,0
7043,@mdpsociety #maledominance,0
2365,"Doctors saw immigrant kids separated from their parents. Now theyâ€™re trying to stop it.: Separating immigrant kids from parents â€œreally is nothing less than government-sanctioned child abuse,â€ the president of the American Academy of Pediatrics says. Â  Â â€¦ https://t.co/tXYDzhKJzs https://t.co/xQPV7aGaKG",0
2062,"Yes we can #BuildThatWall ! And yes it does keep people, includiing bloodthirsty drug cartels & disease carriers out. He's mad he can't keep giving cartels weapons.",1
8050,@nikkihaley pathetic traitor. Our Cuba policy has failed for 50 Fin yr. STFU stupid skank. Every post u make is idiâ€¦ https://t.co/9lzBVaKETu,0
18324,"No, I am not paying for his wall. It is a waste of money cause it will not stop illegal immigrants. Most come on a visa and just never go home. https://t.co/HkiMyqHrEa",1
2540,"@SenSherrodBrown As your constituent, I call on you to urge the administration to #welcome75k. Our community is ready to welcome refugees &amp; we need you to stand up against cuts.  Refugees benefit our communities, especially here in Ohio.",0
5727,"Fake hair, fake nails, fake personality, and pounds of makeup...... And you expect a REAL guy? Gotcha bitch #WomenSuck",1
6943,@JenAshleyWright men are so stupid they can't tell the difference between a wink and rape!,0
4203,"It's Not Just The Eyes of Texas Are Upon U @HuntleighUSA, It's The Country Consider Name Change 2 @EbenezerUSA Shame On U! Perspective | â€˜They have nothingâ€™: How a $20 tip cost an immigrant her Dulles job and severed a lifeline to Sierra Leone https://t.co/euCSSHKvmT",0
1323,"We all know there's gonna be some #MAGA nut who sees this, realizes having no uniform &amp; not showing ID has no consequences, has the idea of impersonating an ICE agent with an equally racist friend to 'deal' with the pesky immigrant in their  area https://t.co/8qs4bLkkhj",0
8910,"@MaliceDaFirenze Did you make this? It's hysterical XD Really, really accurate about that group. The only thing misâ€¦ https://t.co/oeLasNK9nz",0
4249,"I truly hope so, I do, I do, I do @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike",1
7840,I'd never call a woman a whore because I am grateful for women that enjoy fuccin,0
965,"First-hand accounts shared on @wdNRPFmean lay bare the violence of this specific, deeply harmful immigration condition. If you have an experience related to NRPF and want to share it, get in touch. https://t.co/ix4wNWaajq",0
2544,"@AfrikParliament @YouTube Fantastic. 2019 is a year for refugees, returnees and internally displaced person. We hope to see similar collaborative initiative on the theme",0
4271,"@FAIRImmigration @Reuters @SusanJCornwell @robertarampton Good shut it all down let's get this wall built, if was up to me illegals would leave this country by Catapulting not ICE. #DeportByCatapulting #StopOpenBorders #BuildThatWall #MAGA",1
7416,If I can get your mouth pregnant I'm down https://t.co/WUi8LydEFm,0
4416,Dozens of migrants intercepted off Greek islands https://t.co/yrNeJA4Ny9,1
8152,@rbonhoff the official #WomenSuck twitter page!,0
6170,"@AnimeFemsplainr All women deserve an opinion and have the right to, you on the other hand my dear are a cunt who dâ€¦ https://t.co/f66e68hLQq",1
3550,"@ArvindKejriwal I had lot of respect for u when u came to power.But in pursuit of power,Delhi have fast become a Slum,coz u r encouraging illegal migrants,encroachments.Ur naked Appeasement of Muslims is highly condemnable.URGE U TO VISIT NIZZM TILL INDIA",1
4895,These feminists are just too-ugly sluts who want attention!*,1
3599,"It is not just the proper ""vetting"" of refugees we need to watch. https://t.co/PsK9EfkISs",0
4281,Why â€œUndocumented Immigrantâ€ is Wrong: https://t.co/iqkoiVIQ0K via @FAIRImmigration #IllegalAliens https://t.co/a8pVatYjVX,0
18350,"@Pontifex Great...Italy should take all  refugees and send them all to the Vatican square to live!!!  That would make you happy, right?",0
1424,@Telegraph Coward Cameron go on welcome migrants with housing etc while destroying disabled peoples benefits its not a secret ur no good,1
6492,"'Dick hair' sounds like 'take care.' If you're having a bad day, say 'dick hair' as you wave goodbye to annoying people. They won't know. ðŸ˜",0
3322,Please consider acting today. This is #ImmigrantHeritageMonth and #RefugeeAwarenessMonth. It's time to speak up on behalf of those who need an advocate. https://t.co/WtNzRfYFIf,0
710,@HuffPostPol HE SUFFERS FROM MENTAL GLITCHES---DEMENTIA?,0
5994,@TayrnG @WhiteHouse You are a stupid idiot. F U. NASTY TRASY SKANK,1
8381,"How every man saying not all men, but every woman been sexually assaulted....",0
18618,#Germany can't even afford the 1% - the rest goes to the humongous benefit bill for the immigrants https://t.co/OPkHeAXUOI,1
296,@FAIRImmigration @NBCNews @JuliaEAinsley THIS CANNOT BE ALLOWED TO HAPPEN----CHILD KIDNAPPER AND MOLESTER MILLER NEEDS TO BE GONE!,1
6881,"Thank you, good morning to you too you not whore you. â˜ºï¸ https://t.co/11fXCZeOLu",0
1712,"Is #repatriation plan only ""a public relations play"" to hide the fact that #Myanmar hasn't taken measures to ensure safe and sustainable returns for #Rohingya? https://t.co/EZ6gPQvsxJ @MSF @UNmigration @OpRohingya @voiceofrohingya @USCIRF @Johnzaw @StephanUttom @bd_rock @ucanbd",0
19160,I think Booker is a more hysterical woman than Kamala,1
319,"The German Government Pays for 3 Week Vacation for Refugees to Go Home #MuslimImmigration  No the German government isn't paying, the German taxpayers are paying! The German government is robbing native Germans to finance the Islamization of Germany.  https://t.co/4CqBuf4in4",1
7991,@Even_Kate @AdvicePol @JulianAssange No because not all men buy into those labels. You donâ€™t get to decide what somâ€¦ https://t.co/BMDGBy3vvj,0
6717,"RT: Woman who #accused nelly of #rape wants to drop charges. https://t.co/wGStiDydVm October 14, 2017 at 08:27AM #USSupportLLC Jason J Watâ€¦",0
233,"Please listen to a Syrian refugee now in Germany.  He asks that people around the world demand that the annihilation of women and children, deliberate attacks on hospitals and medial people and the mass bombings be tried as the crimes they truly are. https://t.co/wkgRDvxRlN",0
8087,@courtneyrrenae No bitch when Sueâ€™s sister died I was hysterical..so much sad shit happens but itâ€™s so good!,0
7030,Start your week right with our favorite music video of 2013 featuring one of our best supporters: http://t.co/Oh9jyXw4ma,0
5621,chuckwoolery: Lipstick on a PIG. The Democrat Women on out numbered. If it weren't so weaselly it would be hysterical. Trying to defend DNCâ€¦,1
1268,The head of the Philippine Catholic bishops' commission for migrants has welcomed a Kuwaiti court's decision to sentence the employers of a murdered Filipino maid to death. https://t.co/UfLAF8GVdg,0
1547,German Minister of Family Affairs blames Germany for rape attacks by migrants - Free Speech Time - https://t.co/X1o0hMe97M @ISupport_Israel,1
4947,'Keisha Phillips is a dumb cunt dyke bitch hoe. Waste of a pick. Stupid idiot.' -Coach Q,1
6205,"@forniaa 3rd, you are a fuckin BIRD you dumb bitch so what anytime you got drunk and had sex it was rape?! I'm sick of you feminazis",1
6239,@RachaeltheLord I hate when other women drink the Kool -Aid. Sexual assault and rape is about power and control. Thaâ€¦ https://t.co/9wVBaFihrS,1
4017,"Wow, looks like you're about to be induced on the ""fun"" game all your people are being forced into by ""peaceful"" muslim immigrants @RoyalFamily @KensingtonRoyal https://t.co/gh9R0fUfrC",1
8646,Reason #346738 why some women are stupid af https://t.co/vbzonSrai4,1
5469,You a childish ass bitch if u don't suck dick and u a gay ass nigga if u don't eat pussy ðŸ’¯ðŸ¤£ Idc let's argue,1
7097,@bryn_adams oh ya because in 2009 14% of America said they cared/supported women's rights,0
5509,@OMG_ImSoAwesome True slow your role bitch n get your ass outta here ðŸ˜‰ðŸ¼xx,1
231,Activists chained to Italian transport ministry to protest immigration policy https://t.co/dLCCKcCgud,0
5874,@james____s Dutch woman looking at him like you cunt,1
4586,@Daily_Record It is good to see refugees get a safe place to stay after all they have been through l do not mind even though lve been on midlothians housing list since 1996,0
229,Could you open up your home to refugees in need? https://t.co/0F2rzmYCSw,0
4402,@DFBHarvard @Godsgirl158 A Santuary City while they support the illegal immigrants &amp; their citizens do without,0
7707,"You ever be talkin to someone that you really wanna fuck, then they say one thing and all of the sudden you have no desire to fuck at all?",0
935,Opinion: Anchor centers are shipwrecks of #EU migration policy https://t.co/CQnfJwZowA,0
2267,Take our money! We feel guilty! B as in B. S and in S. #SaveEurope #CloseTheBorders #SendThemBack https://t.co/WUfOVntCmv,0
306,"Texas -v- DACA Draws Federal Judge Andrew Hanen, Big Trouble Looms For ImmigrationÃ‚Â Activistsâ€˜Â¦ https://t.co/n0aTMQzH7x https://t.co/apheHOzisW",0
18559,Would this be the same Conservative Party that recently made the son of a Pakistani Muslim immigrant Home Secretary? Whatabouterry of the highest order from the New Statesman  @sajidjavid https://t.co/aPzivLKqeO,0
9095,Harvey Weinstein: More Women Accuse Hollywood Producer of Rape https://t.co/t2jeBhj0Cc via @nydjlivedotcom,0
8220,Waking up Sunday morning hungover as fuck like... https://t.co/7tBeeiHwoQ,0
2432,@AlphonsoBedoya @Barnett20Todd @atlcav @wattsjim @heyitsmeCarolyn @JaniegrayJg @Jamierodr10 @Jali_Cat @JacobAWohl @RealCandaceO @Katmcbeez @RealJamesWoods @ColumbiaBugle @RealBasedBlonde @ladydwinter @LadyThriller69 @RealMattCouch Please follow back #Turn,1
1193,#ACTNOW! #USA #EB5 #EB5Visa #Immigrant #Foreign #Investor #Visa Program Laws ARE Changing! $500k #Investment. Payment plans available. Use #bitcoin #ether #cryptocurrency. Become a US Citizen! Visit us at https://t.co/wHkC35kGrX. Contact us TODAY at gbibuildingco@outlook.com. RT https://t.co/sr85K6gF2P,0
18613,every culture can complain about equal rights including the ones who hide illegal immigrants and want more with out giving get a life,0
7258,The awkward moment when Lexus is showing you how much crack fits in the cup holders... https://t.co/HCYDMyLhG5,0
6989,MEC Panyaza Lesufi will visit a Mamelodi school to receive a report on the alleged rape of a 17-year-old girl pupil. https://t.co/eegsJulxTv,0
560,@Daily_Express Sharia Law for student Loans why do they not put it on London Buses or have their own police force invite migrants to join,1
504,Greece: Search and rescue operation for migrant boat https://t.co/iv3meIVRD5,0
2827,UNHCR Representative to Nigeria and Ecowas Jose Antonio 0 meets with #withrefugees Leaders in sub office Lagos. https://t.co/8jkmnvzOUV,0
9166,"#UrbanDictionaryHasTaughtMe that I'm the BEST, FUNNIEST, MOST ATTRACTIVE girl EVER- until I get to the second page and apparently I'm a SKANK WHORE BITCH SLUT.",0
4713,@LadyNadiaEssex Shut the fuck up ye little slag,1
6110,@MrGQ37 @politico keep calling her a bitch and a whore dude real grown up.,1
8513,Bitch is literal referring to the mass murder of falsely accused women (and one man). Weinstein isnâ€™t even to courtâ€¦ https://t.co/wg9UH72Ot4,0
3300,"wild RT @10TV: HIV-positive shelter worker sexually abused 9 teen immigrant boys, authorities say https://t.co/HeNfKMRZbQ #10TV https://t.co/zswRzmkvpn",0
5903,"Says the bitch wit a HAT, WEAVE, & a FULL FACE, in her ICON.... lol fucc outta here you SEWER RAT, GUTTER SLUT, TROâ€¦ https://t.co/QmNBWN6uR7",1
4098,"22 years ago next month, @cnddfdd killed hundreds of defenseless refugees. Nkurunziza returns there to sign his constitution. #Burundihttps://t.co/nxFAmjEV9H",0
5640,"@realDonaldTrump the 12 -year -old hysterical girl look isn't good on a President, ... https://t.co/nn1MNgWr8c",1
8130,#nowPlaying Regain Your Poise Hysterical Woman by KINDRED SHINS (from Yes To Rioting Notoriety' 2013). The Lonâ€¦ https://t.co/RYE9xX44ED,0
821,"Canada will begin taking in American refugees of all nationalities and allowing them to seek refuge in Canada, or go back to their home nation if their home nation is hosting a refugee/repatriation program. Once stability is restored to America, Canada will return any refugees.",0
7435,When you wake in a randoms bed with no recollection of who she is or how you got there https://t.co/vhF2ZCHG1J,0
2698,Once again: we call upon the government of Cameroon to refrain from carrying out further forced returns of Nigerian refugees and asylum-seekers. https://t.co/v3uMkLEDex,0
913,A look at Houston's growing immigrant population: https://t.co/2L6Tw63MtY #GlobalCities #Missions,0
8603,Put some respek on your name! Stop letting people down play and belittle what you have done. Keep pride in your releases! - Head Kunt ðŸ¬ðŸŒˆ,0
3055,"There are less than 2 months left of FY'18 and only 17,564 refugees have been welcomed into the US, drastically short of the goal of 45,000. Join us as we continue to stand for the vulnerable #WhereRtheRefugees https://t.co/2iRI2hVD90",0
4469,NY Times: Cohen Recorded Trump Talk of Payments https://t.co/4I4SepCUXL,0
3108,to hell with the #Tories. #SendThemHome,1
8280,Ophelia the slut hurricane hits today and I can guarantee that bitch will destroy my internet ready for front page ðŸ˜’ðŸ˜¡,0
4716,like damn bitch if youre hungry shut the fuck up and eat im trying to sleep!!!,1
1461,The world divided over trumped up charges and more refugees drowning l blame the refugees who burnt and murdered Christians their religion,1
3360,"Welcome to Final Wave Feminism: The acceptance of a rape culture and Islam. So long as it isn't perpetuated by Western men, they are fine with it. Tell others not to rape doesn't apply while Muslim in Scandinavia.  #FeminismIsCancer #Islam #Refugees #Europe https://t.co/e14Ndk2rb1",1
1170,"@AndrewScheer @CPC_HQ @steeletalk @CKNW Earth to Andrew, come in Andrew:   its about immigration.Denying Canadians their right to survive and defend their racial interests IS 'racial hatred'.  IN fact its White Genocide. Its a crime: Access to White peopl",1
4112,"More than 1,500 migrants pour through new gateway on Spanish beaches https://t.co/kAcQcWEdpx via @MailOnline",0
5398,@JemSummers You ungrateful whore. . . I'd have bought it n everything ðŸ˜‚,1
9047,@mulannoir I was so adamant that a timid Surgeon could never rape a woman why would he? I know itâ€™s fiction but peoâ€¦ https://t.co/oxpKjmukmG,0
459,WTF? What are we waiting for? These ppl will be the death of us. #BuildThatWall,1
3990,"The German people want the change of immigration from evrybodys countries to come. To send all the refugees home is possible, if Merkel retire. Will Seehofer protect his country and send Merkel in pension ? https://t.co/XFFjQSKbsW",0
18403,"Report suggests Trump's #MiddleEast team seeks end to Palestinian status as ""refugees"" | https://t.co/5PdFzCxmLS... https://t.co/ux0Y87O2uA https://t.co/6796BDw31M",0
687,You actually found them there so youâ€™re the immigrant on the land you claim https://t.co/8XqJXzO4q1,0
8107,@manwhohasitall To whom? Other hysterical men? Sure. To women who are the keepers of logic and reason? Hardly. Theyâ€¦ https://t.co/8elXu7jXYt,0
718,@EvanHD If we left the EU and did away with the old outdated Commonwealth migration could fall rightaway Uganda in the 70s taught us nothing,0
8542,"@kaykay924 That's exactly right! Bitch boy sean is no better than she is, they're both all for the views and subs. 2 drama whores!",0
511,Why we need to protect refugees from the â€˜Ëœbig ideasâ€™ designed to save them https://t.co/nvvpIGyr2f @Refugees @RCKDirector @UNHCR_Kenya @NRC_HoA @drchorn_africaY @tyrusmaina @AmnestyKenya,0
